"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Belarus","BLR","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2603000","2625828","2623860","2583092","2508524","2468056","2386888","2282620","2348652","2441884","2310016","2109314","2211921","2142953","2234936","2440144","2458912","2425695","2400594","2466930","2541965","2404759","2428139","2218602","2206134","2241784","2134358","2258670","2374010","2290692","2288999","","",
"Belize","BLZ","Land under cereal production (hectares)","AG.LND.CREL.HA","","8129","5419","5550","7291","7842","8128","8102","8410","8785","11892","13357","14424","13042","15475","15782","16857","16106","13961","12909","13800","15432","14342","12718","14305","16630","13056","16300","17000","17720","14815","16903","16653","19970","18104","22560","22335","25007","21247","22207","19797","18473","23042","21052","22800","25007","19979","23866","24523","32487","30554","29082","26550","30959","26295","27938","28932","27991","24567","28886","31763","31848","32777","","",
"Bermuda","BMU","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Land under cereal production (hectares)","AG.LND.CREL.HA","","431159","441960","475397","479702","432772","428936","392107","444767","464910","453355","463110","451760","456646","477335","519250","516695","536940","519405","526295","560535","589060","558838","476083","662023","728061","651475","649338","631546","624287","582495","664550","680232","724636","670717","697917","705642","680721","774566","832306","757852","742201","768259","744911","775942","861350","888530","983097","1018121","1014013","941043","972000","1005820","1457127","1250800","1287146","1260291","1234818","1400133","1434439","1439926","1482844","1523612","","",
"Brazil","BRA","Land under cereal production (hectares)","AG.LND.CREL.HA","","11168641","11522315","12565288","13107902","14247927","13523268","14493244","15119971","15774034","16821700","17674109","17468377","16803961","18023969","19309530","21558886","21283876","19860058","20861400","21080553","19893608","21903982","18083861","19502145","19702168","22404844","23456712","23082577","21970521","18512400","19821126","20564117","18293707","20063935","19752837","17519708","17794686","15788868","17435114","17601718","18148670","17883426","19925261","20420482","19313005","18423582","19543770","20814408","20077516","18601205","19216441","19611226","20906133","21851934","21202900","20127615","22645899","21483475","22776418","23896353","25023086","27643788","","",
"Barbados","BRB","Land under cereal production (hectares)","AG.LND.CREL.HA","","380","358","376","284","300","400","430","610","730","660","600","760","760","765","765","765","765","765","765","800","800","800","800","880","800","820","820","840","840","860","800","700","600","500","400","300","250","200","150","115","96","83","100","94","95","100","105","98","93","90","90","100","120","30","45","35","26","39","15","31","18","19","","",
"Brunei Darussalam","BRN","Land under cereal production (hectares)","AG.LND.CREL.HA","","2836","2831","2821","2600","2510","2448","3480","3480","3650","3456","2734","2473","2522","3363","3636","3680","2833","2410","2121","1991","1828","1596","1694","2100","873","721","1016","890","700","600","1600","1400","1500","1500","1000","900","900","900","380","460","539","572","841","954","1310","1377","1510","1400","1370","1600","1500","1600","1300","1300","1300","1400","1300","1200","1100","1300","1500","1500","","",
"Bhutan","BTN","Land under cereal production (hectares)","AG.LND.CREL.HA","","68300","70400","72600","74500","76600","78600","80900","83900","85700","87700","89700","91600","93700","95800","97450","99800","101700","104000","107450","110950","112300","115017","120150","124030","120700","119800","118200","93040","93380","94799","97352","95251","100313","102967","109483","110600","110204","107782","100386","74170","79342","59031","59426","51405","82499","83943","95467","60554","66446","58578","65794","56994","53046","52295","50531","52229","56489","36808","33497","30099","23229","20692","","",
"Botswana","BWA","Land under cereal production (hectares)","AG.LND.CREL.HA","","181860","49768","48460","41698","35172","80619","206775","99160","161765","182379","215194","83818","125250","160270","150270","191470","177300","127300","73700","193500","196900","67100","63200","63200","103000","118400","127300","288300","267500","204982","137174","77933","109311","247549","136931","276883","158760","60531","91141","161032","41627","96508","29548","97254","83251","117650","48987","101822","152311","135467","163673","102001","88982","164658","46855","99749","73297","147275","71830","156833","121817","124318","","",
"Central African Republic","CAF","Land under cereal production (hectares)","AG.LND.CREL.HA","","153500","154000","155000","131500","112000","106000","123000","114000","127000","129400","133000","143500","151810","201692","177461","182500","178000","156056","187340","191665","203789","214920","152200","132240","102860","149573","131796","128708","114578","110070","102426","93395","94609","114904","129788","143200","146000","149111","159907","166718","176834","184400","199911","208306","226872","229368","248704","248770","264307","173423","162100","163716","139491","148595","148750","167770","169045","175526","183175","389559","354057","354293","","",
"Canada","CAN","Land under cereal production (hectares)","AG.LND.CREL.HA","","16985264","18340807","18556188","18664782","18625128","19599536","19802974","19840692","18334919","13531041","18114448","17843070","18757283","17874547","18081682","19646229","18641159","18477650","17688300","19318900","21676900","21480700","21521900","21101600","21709000","22161800","21544800","20231700","21922393","21547874","20868753","20177800","19449800","17968300","18276700","20565900","19193300","18322900","17524800","18209500","17733700","15174800","17833000","16161700","15846800","15946100","16145100","16519700","15060300","13173800","13606800","15000396","15992384","14171684","14582900","13895831","13830500","15001800","15327200","15961700","15239131","15946200","","",
"Central Europe and the Baltics","CEB","Land under cereal production (hectares)","AG.LND.CREL.HA","","21920693","21236875","21145481","21185616","20812888","20702896","20410239","20563246","20639176","19430278","19976693","20160224","19392896","19325646","19483010","19467094","19554794","19312801","19307307","19294125","19008710","19132879","19199745","19400857","19208071","19419666","19183704","19318443","19385047","19068729","19902118","22045474","25486958","25562875","24841673","24133727","25406931","24818629","23043043","23663559","25031622","23766164","22249431","23992350","23550150","22532169","22242114","23301630","23499233","21588518","22211369","22743963","22677236","22737955","22582857","22398321","21728757","22233400","23036730","22343920","22302980","21727380","","",
"Switzerland","CHE","Land under cereal production (hectares)","AG.LND.CREL.HA","","180255","184650","175300","174285","173683","171400","168900","169410","175385","171620","173480","181000","178550","179739","177804","175600","172310","173410","172300","170665","174510","175930","177400","181440","184315","188560","186190","196510","208040","211903","208670","201240","201800","208990","205248","196438","186373","186867","182256","182671","179576","173482","166558","161753","167689","164346","157777","156315","152956","151628","145386","147041","145871","141145","141474","144314","143615","141355","141771","144884","142099","142274","","",
"Channel Islands","CHI","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Land under cereal production (hectares)","AG.LND.CREL.HA","","1024480","1013290","991550","987443","957810","1009247","968900","1008340","951251","967700","968330","982070","784560","879200","969970","969130","928550","855960","883810","852020","723930","656950","635460","782360","800220","797180","874770","792720","804080","823447","706970","694330","622470","583380","618407","604456","682719","613235","533827","593690","631247","652128","685127","706925","686445","594456","497056","565044","572191","526524","570215","556184","579184","567641","534984","564637","512101","512533","460545","442145","467709","423377","","",
"China","CHN","Land under cereal production (hectares)","AG.LND.CREL.HA","","89712000","88910008","90371008","92086008","91089016","92863000","91965000","89643008","91280008","92886508","96197008","96529000","96185008","96848008","97239491","97788749","96433874","96648324","95472504","94370308","91944016","90301916","92104816","91739562","88145866","89761952","89694400","88790680","90871369","93579327","93608374","92100020","88812950","87436560","89308700","92208280","92141074","92118680","91616870","85263680","82595430","81468883","76947800","79349403","81873750","84899810","85830050","86358190","88566750","90060290","91288190","92927090","94166630","95062910","103281871","102133381","100489465","99631500","97923829","97943713","100144851","99268783","","",
"Cote d'Ivoire","CIV","Land under cereal production (hectares)","AG.LND.CREL.HA","","471000","574000","586000","618000","613000","624000","698200","712700","731050","714300","711200","711200","729700","784000","1020700","1041150","1073820","1123650","1166800","927200","943100","984700","1043500","1129200","1097000","1225000","1274000","1300000","1353000","1115596","1163560","1185538","1026144","1140765","1157449","974938","949280","829586","768277","764363","760406","759651","730329","743359","775972","788783","780280","811788","834856","864043","853734","1121491","1246187","1294102","1503735","1423194","1464090","1425662","1387042","1291849","1321740","1463957","","",
"Cameroon","CMR","Land under cereal production (hectares)","AG.LND.CREL.HA","","814452","909688","903695","887702","875932","884051","830487","838210","939792","923573","992652","948409","998927","975229","1042516","964175","981715","1060681","1066582","1031730","964842","1079632","992687","610628","706454","792237","582102","771621","766751","648236","843712","950440","1028449","991838","1006622","964611","905236","998998","626054","723025","793644","890764","979727","1077637","1122283","1232779","1412908","1474005","1636978","1826815","1747441","2029134","1907139","2059576","2256907","2354801","2158098","2225159","1102789","2118556","2152054","2269190","","",
