"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Jamaica","JAM","Land under cereal production (hectares)","AG.LND.CREL.HA","","9712","8579","8619","5960","4816","5985","3590","3980","3710","3663","4353","4049","3575","6526","7400","7090","4893","6044","4685","3799","3851","2951","3690","4430","4391","5173","4592","2366","2648","2134","2697","2902","2266","2903","2862","2959","2716","1938","1773","1553","1750","1496","1672","1359","1536","1542","1422","1543","1907","2073","2188","2433","2496","2206","2069","2159","2185","1896","1829","1811","1898","2086","","",
"Jordan","JOR","Land under cereal production (hectares)","AG.LND.CREL.HA","","377707","400547","289041","396330","371808","283580","284792","290790","221975","264027","296864","285188","132827","311469","173126","191425","172963","188057","143583","184623","146944","150962","155807","115268","134451","66454","125477","125766","87014","105746","108539","120512","64864","60084","76321","54909","79567","62907","7851","31765","33885","88162","55780","39960","65853","63406","49995","40405","47914","42968","42817","52624","60762","61768","61812","54334","47410","55112","68862","61457","66941","55039","","",
"Japan","JPN","Land under cereal production (hectares)","AG.LND.CREL.HA","","4868480","4755130","4609500","4418130","4303013","4194810","4092940","4017000","3925820","3445920","3092500","2935910","2833610","2932850","2970510","2977950","2949640","2795168","2793552","2723782","2654960","2637374","2652555","2687684","2711736","2679339","2555938","2535438","2523524","2471494","2413369","2430921","2424140","2448141","2352386","2220809","2197439","2054154","2047487","2045200","2006684","2002225","1985726","2018378","2020451","2006323","1983627","1940319","1936221","1956822","1939505","1947101","1952515","1942251","1922104","1906923","1894128","1807310","1809015","1805313","1753105","1854217","","",
"Kazakhstan","KAZ","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22152350","21780600","19539401","16318400","15515738","14107406","11370199","10928040","12243028","13040961","13900900","13677800","13951832","13775200","14068409","15134650","15356610","16570000","15068400","15886231","14784092","15586966","14590623","14542276","15144296","14854952","14784523","15157457","15649544","15785574","16004351","","",
"Kenya","KEN","Land under cereal production (hectares)","AG.LND.CREL.HA","","1105697","1260197","1369115","1432536","1569770","1419048","1623708","1811404","1783814","1635144","1580733","1721646","1872408","1879861","1881305","2044704","2048900","1971500","1853700","1796750","1427630","1501439","1619035","1295163","1784513","1794808","1846906","1890731","1834500","1785368","1707540","1804764","1737790","1889290","1842401","1903025","1932660","1841097","1962713","1884669","2055178","2046310","2102634","1771599","2177936","2390855","2038151","2021880","2332573","2542199","2679558","2700291","2730562","2669565","2551453","2814068","2602578","2811780","2874012","2649080","2668085","2591448","","",
"Kyrgyz Republic","KGZ","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","573600","622100","584490","558680","614138","678640","644691","651327","580709","625958","642377","588876","594097","605537","589663","564107","605138","612378","578541","578031","573287","595136","595628","584652","568150","556326","563996","563869","583204","589513","588651","","",
"Cambodia","KHM","Land under cereal production (hectares)","AG.LND.CREL.HA","","2270080","2387069","2348000","2504000","2480500","2270900","2137000","2437100","2046200","2485200","1974200","1455200","873600","615000","955000","1055000","1062000","1065000","849000","1541000","1402000","1676000","1661000","1021000","1496000","1563000","1410000","1875000","1910000","1900000","1769000","1733400","1866538","1531600","1969035","1925988","1962827","2002423","2139181","1960563","2047508","2066239","2325989","2186354","2484980","2621712","2708000","2776469","2895890","2990507","3142786","3222987","3186200","3165000","3130100","3212700","3416900","3456200","3449500","3454251","3619624","3499434","","",
"Kiribati","KIR","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Land under cereal production (hectares)","AG.LND.CREL.HA","","2073629","2112667","2178119","2271775","2375066","2273410","2282468","2243090","2224792","2159730","2058060","2053860","1985956","2031202","2052241","2033637","1840488","1860028","1771719","1646125","1648832","1584654","1626971","1621738","1518939","1469916","1516045","1491943","1470589","1440980","1369123","1293007","1280481","1219068","1173787","1172121","1152191","1172432","1171311","1165478","1198104","1161751","1105973","1091445","1066572","1038286","1033147","1018461","1001837","970738","925794","913383","896782","884328","876942","858433","821734","820122","806482","796102","797380","788395","","",
"Kuwait","KWT","Land under cereal production (hectares)","AG.LND.CREL.HA","","0","0","0","0","0","0","0","2","3","4","5","10","9","4","14","15","13","44","72","69","135","165","256","257","591","555","615","699","691","501","302","23","171","135","291","526","591","1249","1419","1425","1583","1860","2127","1556","1569","1672","2213","1705","1711","1879","2502","1949","1850","2453","1423","1007","1079","1070","1781","2009","1982","1972","","",
"Latin America & Caribbean (excluding high income)","LAC","Land under cereal production (hectares)","AG.LND.CREL.HA","","34595414","33522923","38061351","40299053","39492472","40655236","42236479","43211433","42903656","43821437","45801703","44701038","44086194","44538623","46689504","50507312","48280430","47555090","45957607","46655687","49392350","50710524","48017311","48380813","48855273","49072257","50412507","48840523","47638398","44561409","46009899","46438577","43541482","46640963","46691268","45276379","47960153","44615620","44550097","46072676","47420649","45996696","47931202","47850046","46552136","44922198","47891305","50778188","46276435","45758421","48324919","50004742","51414162","51895290","52060997","51265302","55810513","55366277","55920863","59125192","60460237","64094701","","",
"Lao PDR","LAO","Land under cereal production (hectares)","AG.LND.CREL.HA","","630000","602000","610000","928000","931000","943000","974000","670000","678773","679693","680770","679790","680000","701800","698000","553664","585700","606750","717490","760360","775990","768362","724141","683658","690373","671262","566782","562643","626533","686970","591054","597884","578863","639020","589012","591121","639295","663938","758307","768370","790645","783060","807987","837820","822020","856720","885573","1015485","1026161","1067859","1029355","1130582","1103220","1201221","1219177","1232237","1163324","1013794","1002440","1052522","969199","910959","","",
"Lebanon","LBN","Land under cereal production (hectares)","AG.LND.CREL.HA","","90400","91435","72900","93100","97500","89924","85135","86904","55215","57987","60145","62528","61136","65261","66000","57600","54100","55300","53200","26050","23445","24280","24105","21661","25730","30990","38629","39715","40474","41186","41094","42097","37550","38255","39077","38289","54700","52922","53500","50850","52529","56796","61481","60514","65570","70545","70040","65855","55978","42586","57410","65286","59924","52164","55104","57418","57565","55260","56260","56280","61272","55229","","",
"Liberia","LBR","Land under cereal production (hectares)","AG.LND.CREL.HA","","200000","210000","239000","255000","257000","133000","134000","140000","147000","154000","162000","170000","182000","201000","191000","200000","206000","194000","201000","197000","210000","210000","235710","231600","230731","233104","235830","233200","252200","175000","110000","120000","60000","45000","50000","75600","135200","161900","153700","143500","130000","120000","120000","120000","120000","130000","160000","190000","247580","251230","248070","231072","215979","226968","262154","312314","233590","238090","245000","243000","243000","257000","","",
"Libya","LBY","Land under cereal production (hectares)","AG.LND.CREL.HA","","489000","563000","503000","503000","455069","498997","598108","631341","629299","375537","221062","275546","437084","469483","571905","719036","386140","687232","607010","555230","450280","380480","551730","474480","394225","423800","444559","429186","483517","404060","368050","310683","258651","244256","215738","235680","246400","301400","326200","347794","351639","343366","349496","352353","375080","342860","343131","342925","339590","363548","414184","452726","460852","456480","382691","446754","309919","410781","328368","313169","313368","313402","","",
"St. Lucia","LCA","Land under cereal production (hectares)","AG.LND.CREL.HA","","40","40","24","12","16","20","20","26","28","25","35","40","49","50","50","50","50","50","50","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Land under cereal production (hectares)","AG.LND.CREL.HA","","37264205","36204208","40600968","43054361","42318922","43456497","44917699","46219973","45780245","46548228","48473903","47019422","46476145","47192629","49502020","53159867","51057095","50093477","48583809","49128522","51829283","52922802","50172559","50696501","51382386","51776043","53240908","51570155","50086392","46897979","48304356","48742088","45793657","48788310","49015060","47618471","50373459","46770191","46601930","48323825","49803118","48219869","50395742","50464806","49116612","47524674","50361326","53497241","49268812","48532812","51033381","52868551","54168565","54606550","54477767","53500216","57967782","57402589","57890347","61215837","62639947","66269492","","",
"Least developed countries: UN classification","LDC","Land under cereal production (hectares)","AG.LND.CREL.HA","","48675304","50419861","51457207","51989649","52645095","52384872","54472253","52938783","54787651","55019356","54481490","54286885","53157507","54140912","54659334","55562937","56226056","56515642","54457555","57053572","58483244","57525404","57976725","57427204","62422068","63361777","60495288","67013696","65877536","64253557","66416958","69670925","68558161","74697023","73207170","75354793","76347051","77410005","76742000","74975919","79202479","79472438","87245196","81030262","93741121","90679474","91986935","97058671","97289323","103403192","103654979","100402756","107439088","110094705","103229567","112391837","110518975","113085466","109316189","112890751","112853527","113032245","","",
"Low income","LIC","Land under cereal production (hectares)","AG.LND.CREL.HA","","28804879","29787311","30286231","29801381","30004649","29577086","31177527","29441437","31297706","32066815","31989184","32281255","31598100","32508024","32631420","33937268","33977571","33608558","32539741","33502698","34580525","34764359","35619236","34234811","37792064","38022431","35955749","41896339","40914870","40291275","42093161","44543685","42578231","49056834","47368202","48292613","49526992","49852614","47951637","46063785","50570373","49556903","55088953","48974569","60549467","56868251","57722171","60249776","59519900","64780183","64844345","62354634","67983840","69684266","63028498","71224348","67856291","70654576","68832130","70302407","69438052","70343363","","",
"Liechtenstein","LIE","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Land under cereal production (hectares)","AG.LND.CREL.HA","","539171","568096","582457","573881","472886","583713","584108","606910","582000","763084","732973","682632","734307","875379","691085","720940","849810","901205","836292","867782","889293","795759","824826","937257","912657","882311","726403","865221","729393","869766","830505","802603","862816","938132","933651","697613","721837","803160","906530","867548","796560","848790","946340","748720","950200","948663","856543","1110843","999340","1124660","1146945","1131730","1261819","953655","1279888","1215182","844329","1111987","1021215","1144961","1233820","1198727","","",
"Lower middle income","LMC","Land under cereal production (hectares)","AG.LND.CREL.HA","","157494960","160444695","162023078","164832146","164895819","161941488","168348604","172154309","178219920","176156773","173619033","168367479","179005736","173635893","174199902","177100621","177638704","178415159","175954436","179021974","178679933","173231546","180089965","181288751","184341816","187919976","182804267","187975339","192569841","191034649","190924102","191934362","195027760","196780664","194928797","199503428","198162727","199786455","202413129","202549182","196615687","192967781","202445038","202346553","206924047","208781286","209609748","213721269","206510440","211478034","212903007","210550965","214161462","216105052","216160786","214685981","219660438","215910442","210787084","219945089","222638004","217663696","","",
"Low & middle income","LMY","Land under cereal production (hectares)","AG.LND.CREL.HA","","355650724","360030319","366497247","374312394","373734771","375906248","383217487","387070260","395290694","396838631","399135647","394356056","403845421","401287169","406210570","414197808","409760571","411409939","405012597","410363163","413105664","405198579","413871935","413509866","419750633","425261366","417882044","428420558","432048578","429359517","432188228","476274972","470708223","475805132","472333586","479234024","479449805","475662617","471300167","465948519","467309608","461267287","472472028","472264076","490334544","487994141","494594684","501920011","497542359","507857924","513310763","510596624","523833461","525836675","524360986","530097953","536407353","533715032","526738489","541259425","544642656","539932947","","",
"Lesotho","LSO","Land under cereal production (hectares)","AG.LND.CREL.HA","","271059","274700","274700","274200","286700","279500","290900","312439","311127","301455","316737","278192","255700","291267","219636","186945","166497","205573","200825","202642","206760","188220","181070","202934","231890","194965","242934","281473","216845","233506","146106","153239","157568","272374","104613","217487","202828","127047","184312","208295","256109","203652","191237","183527","162555","177688","173484","194908","184308","190512","156406","154640","139734","169408","125225","54468","218157","220490","49815","65340","101112","113135","","",
"Late-demographic dividend","LTE","Land under cereal production (hectares)","AG.LND.CREL.HA","","140423043","139507814","143090591","145534586","145546478","147829078","146557893","145995216","148262744","149683100","154754618","154732754","154556130","156498433","158697517","162581719","161642516","160861658","160500086","159907093","156212657","155754970","155427897","156837543","154654207","157435328","158298938","157679398","159660056","158186349","160048793","243267665","238491905","231794911","223149131","224170753","223957175","207062051","207925328","207100184","208257730","205711940","198278876","206631656","207992121","210236663","212354636","220891763","222259663","209234005","222037759","219729332","226202687","226745651","234831316","233442835","235013645","230050436","229924947","233978808","236775617","238660959","","",
"Lithuania","LTU","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1141182","1275493","1201505","1033620","1085423","1167819","1113152","1018372","985259","940596","918000","864600","878500","956100","962900","1003300","1022000","1103500","1012000","1064700","1159700","1213400","1288800","1329091","1326697","1199510","1309900","1377180","1382440","1356510","1335720","","",
"Luxembourg","LUX","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28680","28061","29408","28907","27981","28496","28849","28513","31233","30403","29711","28805","27782","29039","28399","29287","27855","27960","26300","27390","25490","26310","27730","","",
"Latvia","LVA","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","696700","693600","486300","408450","446200","482800","466000","415600","420021","443700","415000","428500","436700","468900","511800","521900","544200","540800","517200","515700","563900","577600","638800","669500","706100","633500","679800","733900","750000","767800","774900","","",
"Macao SAR, China","MAC","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Land under cereal production (hectares)","AG.LND.CREL.HA","","3772884","3285652","4326300","3938680","3956110","4653000","4839060","4712400","4642400","4513200","4684325","4610100","4704200","4572000","4199900","4811900","4963300","4747800","4421500","4428550","4391000","4287300","4712100","4488300","4792400","5182870","5080200","5322300","5531900","5603328","5498300","5020280","5027863","6081400","3993575","5988285","4913693","5904955","5169296","5443172","5145781","4947863","5561338","5686494","5458735","5590632","4851300","5315125","5441176","5062727","5382258","5224668","5401005","4769853","5459896","3804119","5569212","4590740","3657072","4449871","4487822","3720619","","",
"Monaco","MCO","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","675587","839837","746202","873329","863524","1015780","883292","876300","937200","1025300","1014501","850079","1039038","992234","871450","864724","972287","905781","872720","860602","876918","930758","912901","920899","923954","899764","928851","906623","780710","939360","920175","","",
"Madagascar","MDG","Land under cereal production (hectares)","AG.LND.CREL.HA","","888000","941000","950000","987885","982650","1101740","1122410","1150785","1124060","1107060","1120725","1130745","1160770","1178920","1190505","1179514","1291359","1257275","1281582","1330635","1315757","1307950","1318715","1304915","1326020","1338275","1240524","1265600","1301190","1326929","1295564","1339554","1415487","1306641","1342455","1337213","1370461","1391686","1404437","1406830","1411893","1416531","1420599","1440370","1509104","1522018","1536102","1549296","1562974","1577101","1463801","1523161","1248074","1445255","1327084","1451037","1413852","1607227","1731359","1804520","1729233","1719556","","",
"Maldives","MDV","Land under cereal production (hectares)","AG.LND.CREL.HA","","179","240","292","343","394","465","308","204","106","269","92","32","805","833","2326","176","104","34","50","20","133","77","35","5","5","5","4","6","8","7","4","8","10","11","11","9","79","75","71","67","68","66","118","67","68","70","70","70","68","73","72","74","77","84","86","82","83","83","84","84","84","84","","",
"Middle East & North Africa","MEA","Land under cereal production (hectares)","AG.LND.CREL.HA","","21185570","21691630","22391847","22420402","23546010","23182589","24064248","25199073","24244037","25107735","23314119","25488841","24888396","25567689","26174448","27044519","24337403","25201773","24843553","26171959","26442213","25688586","26555152","24564061","28435915","27364546","27809824","26914518","29110936","31049307","31290157","31956379","31109948","29240183","27644224","31212793","26349315","30313005","25792465","24753701","26279442","26762081","29395571","30117889","31066388","30064477","29948717","24298536","27992882","28086802","28060735","28583095","28807816","28117157","25857502","24860504","27256212","25220317","29673709","28800638","26120656","23857151","","",
"Mexico","MEX","Land under cereal production (hectares)","AG.LND.CREL.HA","","7708027","7652725","8440920","8994221","9350458","10068011","9529213","9735738","9273880","9739619","9677067","9510017","9898325","9058706","9527778","9525942","10097560","9850363","7791365","9535719","10742116","8385699","10387630","10099758","11272323","9735910","10205982","9682610","9746785","10543921","9754127","9928776","9547837","10646413","10669738","11481873","10477310","11035270","10130919","10139789","10878644","9877131","10572308","10496782","9282902","10007761","10233546","10459480","9111485","9975294","8766907","9733658","9805578","10197589","10000892","10260493","9865991","9426335","9058298","9555894","9431131","9122008","","",
"Marshall Islands","MHL","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Land under cereal production (hectares)","AG.LND.CREL.HA","","326845845","330243008","336211016","344511013","343730122","346329162","352039960","357628823","363992988","364771816","367146463","362074801","372247321","368779145","373579150","380260540","375783000","377801381","372472856","376860465","378525139","370434220","378252699","379275055","381958569","387238935","381926295","386524219","391133708","389068242","390095067","431731287","428129992","426748298","424965384","430941411","429922813","425810003","423348530","419884734","416739235","411710384","417383075","423289507","429785077","431125890","436872513","441670235","438022459","443077741","448466418","448241990","455849621","456152409","461332488","458873605","468551062","463060456","457906359","470957018","475204604","469589584","","",
"North Macedonia","MKD","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","235207","238096","240276","241092","222277","221834","214268","216907","219884","207404","191500","194727","189597","201130","185654","178520","173330","179878","162651","158444","161938","166181","161342","158593","166093","159491","161086","158444","157971","158923","156150","","",
"Mali","MLI","Land under cereal production (hectares)","AG.LND.CREL.HA","","1564005","1601500","1641059","1265985","1221450","1337555","1542300","1322190","1350740","1194900","1183300","1187700","1321600","1449400","1483872","1742900","1745900","1125275","1275434","1332975","1428593","1632724","1762950","1598375","1591307","1585416","1586654","2283200","2295039","2438695","2287664","2451592","2921003","3005056","2701973","2016524","2008883","2115948","2464640","2295214","2620017","3193406","3474117","2358031","3119463","3283557","3528534","3445025","3364533","3674945","5519796","4350436","4624379","4501731","5112560","5505277","5803284","5876534","5912553","6140158","6119493","6157560","","",
"Malta","MLT","Land under cereal production (hectares)","AG.LND.CREL.HA","","3649","3699","3513","3434","2966","3254","3211","2980","2715","2559","2257","2095","1850","2018","2167","2202","1954","1983","2304","2406","2381","2850","2932","2562","2518","2442","2444","2645","2346","2378","2200","2379","2700","2800","2950","2000","2700","2823","2788","2923","2950","2510","2940","3001","3011","3100","3350","3500","3320","3234","3125","3076","2993","2892","2525","2647","2989","0","0","0","0","0","","",
"Myanmar","MMR","Land under cereal production (hectares)","AG.LND.CREL.HA","","4519316","5001403","5227904","5338487","5221590","4951091","5148430","5162886","5028697","5154905","5088705","4852280","5201762","5226312","5390616","5280047","5253080","5404444","4871890","5261398","5267061","4964269","5226360","5175909","5201393","5189821","4927442","4954300","5189641","5221349","5060927","5575712","5973197","6250953","6544398","6279733","6180703","6253689","7062687","7133931","7238613","7227857","7398371","7696191","8350029","9003315","8895398","8973057","8992633","8963849","8534442","7966343","7966328","7918078","7829649","7793503","7762430","8099349","7835698","7746489","8053779","7871589","","",
"Middle East & North Africa (excluding high income)","MNA","Land under cereal production (hectares)","AG.LND.CREL.HA","","20750946","21280105","21966587","21958743","23079507","22734601","23598490","24663478","23768386","24632267","22742739","25183497","24549422","25000697","25680143","26470518","23803289","24667107","24279025","25582104","26030114","25299223","26099202","24006766","27692500","26601014","26974108","25904132","28026967","29953181","30084495","30718177","29869481","28062548","26828536","30543940","25586227","29578268","25019665","24049714","25508963","25943764","28592171","29332771","30316451","29346208","29254251","23738954","27575948","27713224","27716061","28278996","28551888","27728020","25493265","24520236","26926745","24906543","29370703","28463310","25844657","23568727","","",
"Montenegro","MNE","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4830","1177","1193","1213","1142","1904","1855","2012","2206","2116","2152","2194","2204","2182","2050","2027","2074","","",
"Mongolia","MNG","Land under cereal production (hectares)","AG.LND.CREL.HA","","311000","380000","394000","413000","418200","398500","406900","410300","414000","418100","414800","412300","419600","419500","433100","444400","482400","565200","583400","554700","539600","528100","585800","617480","633410","629710","622832","641628","672286","654090","613190","592628","557823","455698","357446","335235","319387","308931","281602","186090","202456","217263","212006","177524","164100","126201","121777","153953","252398","259113","299927","306235","293262","315033","381209","377802","282228","328979","340680","353118","432747","385021","","",
"Northern Mariana Islands","MNP","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Land under cereal production (hectares)","AG.LND.CREL.HA","","731500","702600","716700","713400","731000","784000","824000","757589","811436","685893","690000","774000","1030000","1030000","948000","950000","955000","960000","998545","1113000","1120500","1270000","1274000","1304000","1404000","1524000","1429000","1429000","1534000","1548378","1600951","1376902","1355048","1520089","1726541","1677137","1862687","2011068","1840503","1828681","1712613","2312600","1849200","1715200","2666100","2492300","2474400","2727622","2532000","2725149","2816078","2315027","2583881","2445300","2127430","2309623","2281500","2249975","2212298","2928418","2315566","2470196","","",
"Mauritania","MRT","Land under cereal production (hectares)","AG.LND.CREL.HA","","246050","246050","252600","252600","307600","257480","257480","258138","288012","258398","268830","209160","137315","167510","118566","80337","70240","120140","122370","111847","141779","136590","102610","103413","168860","181460","150170","201862","193452","118921","156051","123615","198688","309758","287006","275857","196614","211870","224415","207873","194281","111450","226096","180431","203017","253038","258435","247506","239039","291534","144844","332419","260450","222353","249499","257660","201049","286980","261928","310909","243749","322805","","",
"Mauritius","MUS","Land under cereal production (hectares)","AG.LND.CREL.HA","","119","114","114","25","180","181","268","205","446","517","442","513","414","853","764","736","578","536","475","363","463","545","441","797","1060","1848","1102","990","646","545","572","451","428","236","75","90","46","50","41","70","54","38","27","57","63","58","108","61","14","48","163","367","397","481","411","222","115","77","75","87","128","89","","",
"Malawi","MWI","Land under cereal production (hectares)","AG.LND.CREL.HA","","878200","876100","890561","898056","1110250","1128600","972100","1174300","1184300","1120300","1202300","1262400","1310300","1272260","1160300","1165440","1175200","1237200","1246400","1054000","1165560","1268200","1225333","1234173","1217173","1267145","1252805","1289876","1346350","1425342","1472227","1430215","1435514","1235750","1354371","1397520","1398670","1440111","1510012","1570308","1587166","1635836","1772695","1683258","1674520","1928661","1394461","1780115","1792559","1893306","1874110","1836365","1881457","1914565","1887160","1878999","1950168","1910382","1976054","2009653","2111834","2003466","","",
"Malaysia","MYS","Land under cereal production (hectares)","AG.LND.CREL.HA","","523153","550684","562184","564713","590253","580838","604166","669178","693311","712396","740922","773059","758106","749400","761513","749156","733625","593800","745000","723800","718000","690000","680000","638000","669974","665875","675954","689755","683137","700647","703640","693753","713434","718624","695787","710468","716975","701404","719389","725700","695600","701500","695800","704700","701200","670000","679848","662917","682104","686484","697275","693867","681399","624286","691589","698812","696025","709528","679392","654169","657985","647426","","",
"North America","NAC","Land under cereal production (hectares)","AG.LND.CREL.HA","","81854822","78888815","80976396","79641790","79004394","80741162","85650751","82882718","77593673","72760191","81896741","76212361","83288726","86136615","90102123","92728667","90864212","85781082","86059662","90869344","99410038","97695487","80251046","93058616","94582500","89269516","80778304","75946116","85455401","87247874","82999828","86068204","79723627","81985719","78043250","85446926","82996706","79879413","75986770","76735604","72900524","68745502","75646092","72944364","72652677","68807962","78064694","77505298","72997641","70657502","70275432","75253670","75479184","72150714","72707640","72341594","66994794","68650986","67900474","69158398","69968464","66857702","","",
"Namibia","NAM","Land under cereal production (hectares)","AG.LND.CREL.HA","","85600","88400","88450","99450","114450","125400","136400","143400","149400","149400","160400","162400","168400","170400","177400","178400","186400","187400","191400","195600","196700","202800","210000","211200","195500","202000","194800","211059","219113","214293","209833","195200","210346","347457","322107","326027","353715","319711","344753","309224","276112","324980","322857","304857","277385","299780","241380","227182","306316","292257","276839","384584","188795","494144","306251","284437","322697","304290","63621","308713","325195","267470","","",
"New Caledonia","NCL","Land under cereal production (hectares)","AG.LND.CREL.HA","","1050","950","900","850","800","750","710","642","590","545","475","480","460","420","388","335","246","527","918","1671","1191","1251","1162","1095","979","941","519","490","640","667","296","269","157","220","320","504","507","546","572","1200","1199","1032","1510","1324","1619","1000","1400","1100","700","850","750","910","1091","1003","1558","1537","1399","1361","1168","1182","928","443","","",
"Niger","NER","Land under cereal production (hectares)","AG.LND.CREL.HA","","2107164","2317458","2385998","2245960","2289447","2302681","2412528","2511118","2886242","2923200","2956190","2783273","2480375","2802665","2513600","3185100","3495400","3562995","3674620","3880373","4061300","4257175","4284205","4163214","4349336","4378726","4407216","5027984","5217418","6882262","6595046","7545314","6950048","6959682","7192038","7178950","6430513","7644685","7480924","7354042","7885485","7860068","7842931","7859494","8398853","8960497","9056379","9837140","9087885","10639915","9975249","10253611","10697048","11000955","9912802","10908801","10887840","10996252","10645979","10463628","9719205","10627997","","",
"Nigeria","NGA","Land under cereal production (hectares)","AG.LND.CREL.HA","","10621000","10634000","10741000","11291000","12245000","10102000","10635000","11039000","14400000","12424000","11736500","8869500","12504500","10325000","8632000","9874000","7460000","6554000","6113000","7165000","4864500","5186000","5785000","8294000","9527000","12675000","13231000","12685000","14372700","15400000","17014000","16836000","17423700","17993000","18598000","17752600","18476000","18339000","18079200","18242000","16286000","17027000","17371000","17716000","18310000","19147000","19410000","18899000","13890000","16132376","15512438","15316190","15888765","16948908","16541075","17443380","18676572","18195673","18299733","18025044","18473891","18350981","","",
"Nicaragua","NIC","Land under cereal production (hectares)","AG.LND.CREL.HA","","243500","251500","223100","244900","270200","274300","305300","328300","338025","340353","347555","275059","272257","346853","298130","303762","280140","306670","253552","242806","302920","287727","255001","278040","305020","250585","273280","286650","312410","319970","282660","295120","328849","302036","369669","398898","360291","376287","349902","464224","445957","525819","538652","444255","541777","470290","474174","432673","440252","464851","505912","505384","547317","438100","385455","482508","432035","391562","411599","407063","384553","402346","","",
"Netherlands","NLD","Land under cereal production (hectares)","AG.LND.CREL.HA","","521762","509284","488375","481317","484309","462031","437597","419849","406193","361706","349841","331160","292920","260522","244365","240089","235132","234679","237843","224137","213336","204629","206110","195732","183399","170284","176363","197166","202644","198596","189604","180938","183300","189100","193700","200100","202100","204926","183084","219100","229600","226310","218598","216753","216383","213220","212300","235591","220796","210419","206349","202572","203420","187410","190986","174263","158359","166380","178170","172280","169720","183200","","",
"Norway","NOR","Land under cereal production (hectares)","AG.LND.CREL.HA","","228117","229522","232243","242754","240291","232131","228473","232640","244494","257570","267823","271840","279861","290986","299491","297885","302227","306083","310432","315767","306351","320448","321524","328430","335080","341100","336920","343270","346036","356391","369088","359373","352662","348626","338090","334140","332100","339054","329400","332093","329167","327030","326675","328265","325212","318183","311905","309021","306092","301136","298750","294212","286057","283748","282717","285066","286602","279763","275257","279965","283168","280246","","",
